"","DateT","Sighting_no","StartPos","Min","Best","Max","Dist","Bearing","PS","Behaviour","Species.x","Pic_no","EndPos","Grp_no","Biopsy","Comments","TimeEnd","elemk","typdat","varn","pdat","Latitude_decimal","Longitude_decimal","id","Genus","lat_name","Species.y","dist","Date","SST_6am","time_diff","wind_speed","visibility"
"154",2021-08-22 07:25:00,124,"43d51.8297N 58d54.6006W",3,3,3,150,20,"P","Trav","sowerby's","C1:     C2:","43d51.8405N 58d54.5902W",1,NA,"na",2021-08-22 07:29:00,NA,NA,NA,NA,43.8638283333333,58.91001,154,"Meso","Mesoplodon bidens","sowerby’s beaked whale",0.249158249158249,2021-08-22,20.2,1.36666666666667,6.5,2.5
"155",2021-08-22 07:30:00,127,"43d51.7223N 58d54.7539W",3,4,4,50,10,"P","Trav","pilot whale","C1:     C2:","d  d",1,NA,"na",2021-08-22 07:35:00,NA,NA,NA,NA,43.8620383333333,58.912565,155,"Glob","Globicephala melas","pilot whale",0,2021-08-22,20.2,1.45,6.5,2.5
"156",2021-08-22 07:18:00,123,"43d51.6453N 58d54.4645W",2,3,3,60,130,"S","Trav Rest","northern bottlenose","C1:     C2:","43d51.769N 58d54.7202W",1,NA,"tail slapping",2021-08-22 07:51:00,NA,NA,NA,NA,43.860755,58.9077416666667,156,"Hyp","Hyperoodon ampullatus","northern bottlenose whale",0.0800000000000001,2021-08-22,20.2,1.25,6.5,2.5
"157",2021-08-22 07:51:00,124,"43d51.7625N 58d54.695W",3,3,3,120,30,"S",NA,"northern bottlenose","C1:     C2:","d  d",1,NA,"end to restart tablet",2021-08-22 08:13:00,NA,NA,NA,NA,43.8627083333333,58.9115833333333,157,"Hyp","Hyperoodon ampullatus","northern bottlenose whale",0.0800000000000001,2021-08-22,20.2,1.25,8.8,5
"158",2021-08-22 08:17:00,125,"43d51.8418N 58d55.1814W",1,1,1,1000,20,"P","Brea","sowerby's","C1:     C2:","d  d",1,NA,"na",2021-08-22 08:19:00,NA,NA,NA,NA,43.86403,58.91969,158,"Meso","Mesoplodon bidens","sowerby’s beaked whale",0.249158249158249,2021-08-22,20.2,49,8.8,5
"159",2021-08-22 08:25:00,126,"43d51.8745N 58d55.9599W",4,4,4,125,90,"S","Trav","northern bottlenose","C1:     C2:","d  d",1,NA,"continued from previous NBW nc",2021-08-22 08:30:00,NA,NA,NA,NA,43.864575,58.932665,159,"Hyp","Hyperoodon ampullatus","northern bottlenose whale",0.0800000000000001,2021-08-22,20.2,41,8.8,5
"160",2021-08-22 09:33:00,128,"43d51.9382N 58d55.3301W",4,4,4,215,40,"P","Trav Rest Brea","northern bottlenose","C1: 8509 -  8689    C2:6706-6758","43d51.9836N 58d54.473W",1,NA,"one breacher, c1 was mast photos",2021-08-22 09:45:00,NA,NA,NA,NA,43.8656366666667,58.9221683333333,160,"Hyp","Hyperoodon ampullatus","northern bottlenose whale",0.0800000000000001,2021-08-22,20.2,27,8.8,5
"161",2021-08-22 10:02:00,129,"43d51.5188N 58d54.1722W",2,3,3,300,70,"S",NA,"pilot whale","C1:     C2:","43d51.4431N 58d54.3321W",1,NA,"na",2021-08-22 10:05:00,NA,NA,NA,NA,43.8586466666667,58.90287,161,"Glob","Globicephala melas","pilot whale",0,2021-08-22,20.2,56,8.8,5
"162",2021-08-22 10:04:00,130,"43d51.396N 58d54.2151W",2,2,2,250,90,"S",NA,"northern bottlenose","C1:     C2:","43d51.2982N 58d53.7795W",1,NA,"na",2021-08-22 10:12:00,NA,NA,NA,NA,43.8566,58.903585,162,"Hyp","Hyperoodon ampullatus","northern bottlenose whale",0.0800000000000001,2021-08-22,20.2,58,8.8,5
"163",2021-08-22 09:55:00,129,"43d52.0593N 58d54.4862W",8,8,8,1000,60,"S","Brea","northern bottlenose","C1:     C2: 0-137 (will be some on previous card too)","43d51.3986N 58d53.7047W",1,NA,"at least one male, started with 3 individuals but just one by time we arrived? big scratch/scar, NOTE some c2 photos may be overexposed, NOTE c2 full during encounter so switched cards ( new card started at 0?)",2021-08-22 10:36:00,NA,NA,NA,NA,43.867655,58.9081033333333,163,"Hyp","Hyperoodon ampullatus","northern bottlenose whale",0.0800000000000001,2021-08-22,20.2,49,8.8,5
